iter	Passed	Remaining
0	139	139248
1	140	70318
2	142	47408
3	145	36108
4	146	29200
5	148	24614
6	150	21356
7	153	18993
8	156	17220
9	157	15580
10	159	14303
11	160	13241
12	162	12361
13	164	11616
14	166	10965
15	168	10375
16	170	9859
17	172	9411
18	174	9030
19	176	8650
20	178	8324
21	180	8008
22	183	7784
23	183	7476
24	185	7251
25	187	7042
26	189	6842
27	191	6651
28	194	6496
29	196	6354
30	199	6228
31	200	6077
32	203	5954
33	205	5831
34	207	5709
35	209	5596
36	210	5489
37	213	5409
38	215	5313
39	217	5219
40	219	5124
41	221	5042
42	222	4958
43	225	4895
44	227	4826
45	229	4753
46	231	4684
47	232	4615
48	234	4551
49	236	4485
50	238	4429
51	239	4373
52	243	4348
53	244	4289
54	246	4243
55	248	4195
56	250	4143
57	252	4096
58	254	4058
59	256	4013
60	258	3973
61	260	3935
62	262	3898
63	264	3861
64	265	3825
65	267	3788
66	269	3753
67	271	3721
68	273	3695
69	275	3662
70	278	3640
71	280	3615
72	283	3595
73	285	3575
74	287	3551
75	291	3546
76	294	3528
77	297	3512
78	299	3493
79	302	3475
80	304	3449
81	307	3446
82	310	3428
83	312	3410
84	315	3398
85	318	3388
86	321	3374
87	324	3362
88	327	3352
89	329	3334
90	331	3314
91	334	3305
92	337	3291
93	340	3279
94	343	3271
95	346	3262
96	349	3248
97	353	3249
98	355	3235
99	358	3223
100	360	3207
101	362	3193
102	365	3179
103	367	3166
104	369	3146
105	370	3125
106	372	3107
107	373	3088
108	375	3070
109	377	3053
110	379	3035
111	380	3016
112	382	3001
113	383	2984
114	385	2966
115	387	2950
116	388	2933
117	390	2916
118	391	2901
119	393	2885
120	395	2870
121	396	2855
122	398	2841
123	400	2826
124	401	2812
125	403	2798
126	404	2783
127	406	2769
128	408	2756
129	409	2742
130	411	2729
131	413	2716
132	414	2703
133	416	2692
134	418	2679
135	420	2668
136	421	2657
137	423	2644
138	424	2632
139	426	2620
140	427	2607
141	429	2595
142	431	2584
143	432	2572
144	434	2561
145	436	2555
146	438	2547
147	440	2536
148	442	2526
149	443	2515
150	445	2506
151	447	2496
152	449	2486
153	450	2476
154	452	2465
155	454	2456
156	455	2447
157	457	2437
158	458	2427
159	460	2417
160	462	2407
161	463	2398
162	465	2388
163	466	2379
164	468	2370
165	470	2361
166	471	2352
167	473	2343
168	474	2334
169	476	2325
170	477	2316
171	479	2309
172	482	2307
173	484	2299
174	486	2291
175	487	2282
176	487	2265
177	488	2257
178	490	2250
179	492	2242
180	493	2234
181	495	2227
182	497	2220
183	499	2213
184	500	2205
185	502	2199
186	504	2192
187	505	2185
188	507	2177
189	509	2171
190	511	2164
191	512	2157
192	514	2149
193	515	2142
194	517	2136
195	519	2130
196	520	2123
197	522	2116
198	524	2110
199	525	2103
200	527	2096
201	529	2089
202	530	2083
203	532	2076
204	533	2070
205	535	2063
206	537	2057
207	538	2051
208	540	2046
209	542	2039
210	543	2033
211	545	2027
212	547	2021
213	548	2015
214	550	2009
215	551	2002
216	553	1996
217	554	1990
218	556	1984
219	558	1978
220	559	1973
221	561	1968
222	563	1962
223	564	1956
224	566	1950
225	568	1945
226	569	1940
227	571	1934
228	572	1928
229	574	1923
230	575	1917
231	577	1911
232	579	1906
233	580	1900
234	582	1895
235	583	1890
236	585	1884
237	587	1879
238	588	1874
239	590	1868
240	591	1863
241	593	1858
242	594	1853
243	596	1848
244	598	1844
245	599	1838
246	601	1833
247	603	1828
248	604	1824
249	606	1819
250	607	1813
251	609	1808
252	610	1803
253	612	1799
254	614	1794
255	615	1789
256	617	1786
257	619	1781
258	621	1777
259	622	1772
260	624	1767
261	625	1762
262	627	1758
263	629	1754
264	631	1752
265	633	1748
266	635	1744
267	637	1740
268	638	1736
269	641	1733
270	642	1729
271	644	1725
272	646	1720
273	647	1716
274	649	1712
275	651	1707
276	652	1703
277	654	1698
278	655	1694
279	657	1689
280	658	1685
281	660	1680
282	661	1676
283	663	1671
284	664	1668
285	666	1664
286	668	1660
287	669	1655
288	671	1651
289	672	1647
290	674	1644
291	676	1640
292	678	1636
293	679	1632
294	681	1628
295	682	1624
296	684	1620
297	686	1616
298	687	1612
299	689	1608
300	690	1604
301	695	1608
302	697	1604
303	699	1601
304	701	1597
305	703	1594
306	705	1591
307	706	1587
308	708	1583
309	710	1581
310	712	1578
311	714	1574
312	715	1571
313	716	1566
314	718	1562
315	721	1562
316	723	1558
317	725	1555
318	727	1553
319	729	1549
320	730	1546
321	732	1542
322	734	1539
323	736	1536
324	738	1533
325	739	1529
326	741	1526
327	743	1523
328	745	1520
329	746	1516
330	748	1513
331	750	1509
332	752	1506
333	754	1503
334	755	1500
335	757	1497
336	759	1494
337	761	1491
338	763	1488
339	765	1485
340	766	1481
341	768	1479
342	770	1476
343	772	1473
344	774	1470
345	776	1466
346	777	1463
347	779	1460
348	782	1459
349	785	1459
350	792	1465
351	794	1462
352	795	1458
353	800	1460
354	802	1457
355	803	1453
356	805	1450
357	807	14473358	808	1443359	826	1468
360	833	1475
361	844	1488
362	848	1488
363	851	1488
364	853	1484
365	855	1481
366	856	1478
367	858	1474
368	860	1471
369	861	1467
370	863	1464
371	865	1460
372	866	1457
373	869	1454
374	870	1451
375	872	1447
376	873	1444
377	875	1440
378	877	1437
379	878	1434
380	880	1430
381	882	1427
382	884	1425
383	886	1421
384	887	1418
385	889	1414
386	891	1412
387	893	1409
388	895	1406
389	896	1402
390	898	1399
391	900	1396
392	901	1392
393	903	1389
394	905	1386
395	906	1383
396	908	1379
397	910	1376
398	911	1373
399	913	1370
400	915	1367
401	917	1364
402	919	1361
403	920	1358
404	922	1355
405	924	1352
406	926	1349
407	928	1346
408	929	1343
409	931	1340
410	933	1337
411	934	1334
412	936	1330
413	938	1327
414	939	1324
415	941	1321
416	943	1319
417	945	1316
418	947	1314
419	949	1311
420	951	1308
421	952	1304
422	954	1301
423	956	1298
424	957	1295
425	959	1292
426	961	1289
427	963	1287
428	964	1283
429	966	1280
430	968	1278
431	969	1275
432	971	1272
433	973	1269
434	975	1266
435	976	1263
436	978	1260
437	980	1257
438	981	1254
439	983	1251
440	984	1248
441	986	1245
442	989	1243
443	990	1240
444	992	1237
445	994	1234
446	995	1232
447	997	1229
448	999	1226
449	1000	1223
450	1002	1220
451	1004	1217
452	1006	1215
453	1008	1212
454	1010	1210
455	1012	1207
456	1014	1205
457	1015	1202
458	1017	1199
459	1019	1196
460	1020	1193
461	1022	1190
462	1023	1187
463	1025	1184
464	1027	1182
465	1029	1179
466	1030	1176
467	1032	1174
468	1034	1171
469	1036	1168
470	1037	1165
471	1039	1162
472	1041	1160
473	1042	1157
474	1044	1154
475	1046	1151
476	1048	1149
477	1050	1146
478	1052	1144
479	1054	1142
480	1056	1140
481	1058	1137
482	1060	1135
483	1062	1132
484	1064	1129
485	1065	1127
486	1067	1124
487	1069	1121
488	1070	1119
489	1072	1116
490	1074	1113
491	1076	1111
492	1078	1108
493	1079	1106
494	1081	1103
495	1083	1100
496	1084	1098
497	1086	1095
498	1088	1092
499	1089	1089
500	1091	1086
501	1093	1084
502	1095	1081
503	1096	1079
504	1098	1076
505	1099	1073
506	1101	1071
507	1103	1068
508	1105	1065
509	1107	1063
510	1109	1061
511	1110	1058
512	1112	1056
513	1114	1053
514	1115	1050
515	1117	1048
516	1119	1045
517	1120	1043
518	1122	1040
519	1124	1038
520	1126	1035
521	1128	1032
522	1129	1030
523	1131	1027
524	1133	1025
525	1134	1022
526	1136	1020
527	1138	1018
528	1141	1016
529	1142	1013
530	1145	1011
531	1146	1008
532	1148	1006
533	1150	1004
534	1152	1001
535	1154	999
536	1156	997
537	1158	995
538	1161	993
539	1162	990
540	1164	988
541	1166	986
542	1169	984
543	1172	982
544	1174	980
545	1175	977
546	1177	975
547	1179	972
548	1181	970
549	1182	967
550	1184	965
551	1186	963
552	1188	960
553	1190	958
554	1192	956
555	1194	953
556	1196	951
557	1198	949
558	1200	946
559	1202	944
560	1204	942
561	1205	939
562	1207	937
563	1209	934
564	1211	932
565	1213	930
566	1216	929
567	1219	927
568	1221	925
569	1223	923
570	1225	920
571	1227	918
572	1229	916
573	1231	913
574	1232	911
575	1234	908
576	1236	906
577	1238	904
578	1240	901
579	1242	899
580	1244	897
581	1249	897
582	1252	895
583	1255	894
584	1257	892
585	1261	891
586	1263	889
587	1265	887
588	1268	885
589	1271	883
590	1273	880
591	1277	880
592	1280	878
593	1282	876
594	1284	874
595	1287	872
596	1290	871
597	1293	869
598	1296	867
599	1298	865
600	1301	863
601	1303	861
602	1306	860
603	1309	858
604	1312	856
605	1314	854
606	1316	852
607	1318	850
608	1321	848
609	1325	847
610	1328	845
611	1332	844
612	1334	842
613	1337	841
614	1341	839
615	1344	838
616	1346	836
617	1349	833
618	1352	832
619	1355	830
620	1357	828
621	1360	827
622	1363	824
623	1366	823
624	1369	821
625	1372	819
626	1374	817
627	1377	815
628	1378	813
629	1381	811
630	1385	810
631	1388	808
632	1391	806
633	1393	804
634	1396	802
635	1399	801
636	1401	798
637	1403	796
638	1405	794
639	1407	791
640	1408	789
641	1411	786
642	1412	784
643	1415	782
644	1417	779
645	1419	777
646	1421	775
647	1423	773
648	1426	771
649	1427	768
650	1429	766
651	1431	764
652	1433	761
653	1435	759
654	1436	756
655	1439	754
656	1441	752
657	1443	750
658	1444	747
659	1446	745
660	1448	743
661	1450	740
662	1452	738
663	1455	736
664	1457	734
665	1459	732
666	1461	729
667	1463	727
668	1465	725
669	1467	722
670	1469	720
671	1471	718
672	1473	715
673	1475	713
674	1477	711
675	1479	709
676	1481	706
677	1483	704
678	1485	702
679	1487	699
680	1488	697
681	1490	695
682	1492	692
683	1494	690
684	1496	688
685	1498	685
686	1500	683
687	1503	681
688	1505	679
689	1507	677
690	1509	674
691	1510	672
692	1513	670
693	1515	668
694	1517	665
695	1520	663
696	1522	661
697	1525	659
698	1527	657
699	1530	655
700	1531	653
701	1533	651
702	1535	648
703	1537	646
704	1539	643
705	1540	641
706	1542	639
707	1544	636
708	1545	634
709	1547	631
710	1548	629
711	1550	627
712	1552	624
713	1553	622
714	1555	619
715	1556	617
716	1558	615
717	1560	612
718	1561	610
719	1563	608
720	1565	605
721	1567	603
722	1568	601
723	1570	598
724	1571	596
725	1573	593
726	1575	591
727	1576	589
728	1578	586
729	1580	584
730	1581	582
731	1583	579
732	1585	577
733	1586	574
734	1588	572
735	1589	570
736	1591	568
737	1593	565
738	1594	563
739	1596	560
740	1598	558
741	1599	556
742	1601	553
743	1603	551
744	1604	549
745	1606	546
746	1608	544
747	1609	542
748	1611	540
749	1613	537
750	1614	535
751	1616	533
752	1618	530
753	1619	528
754	1621	526
755	1622	523
756	1624	521
757	1626	519
758	1627	516
759	1629	514
760	1631	512
761	1632	509
762	1634	507
763	1635	505
764	1637	503
765	1639	500
766	1640	498
767	1642	496
768	1644	493
769	1645	491
770	1647	489
771	1648	486
772	1650	484
773	1652	482
774	1654	480
775	1655	477
776	1657	475
777	1658	473
778	1660	471
779	1661	468
780	1663	466
781	1665	464
782	1666	461
783	1668	459
784	1670	457
785	1672	455
786	1674	453
787	1675	450
788	1677	448
789	1679	446
790	1680	444
791	1682	441
792	1684	439
793	1686	437
794	1687	435
795	1689	432
796	1690	430
797	1692	428
798	1694	426
799	1696	424
800	1697	421
801	1699	419
802	1701	417
803	1702	415
804	1704	412
805	1706	410
806	1707	408
807	1709	406
808	1711	404
809	1713	401
810	1714	399
811	1716	397
812	1717	395
813	1719	392
814	1720	390
815	1722	388
816	1724	386
817	1725	383
818	1727	381
819	1729	379
820	1730	377
821	1732	375
822	1734	373
823	1736	370
824	1738	368
825	1739	366
826	1741	364
827	1743	362
828	1745	359
829	1746	357
830	1748	3583831	1749	3583832	1751	3583833	1753	3483834	1754	3483835	1756	34838	1744	334
839	1746	332
840	1748	330
841	1749	328
842	1752	326
843	1754	324
844	1755	322
845	1757	319
846	1759	317
847	1761	315
848	1762	313
849	1764	311
850	1765	309
851	1768	307
852	1770	305
853	1771	302
854	1773	300
855	1775	298
856	1777	296
857	1778	294
858	1780	292
859	1782	290
860	1784	288
861	1786	286
862	1788	283
863	1789	281
864	1792	279
865	1793	277
866	1795	275
867	1797	273
868	1800	271
869	1801	269
870	1803	267
871	1805	264
872	1807	262
873	1809	260
874	1810	258
875	1812	256
876	1814	254
877	1817	252
878	1818	250
879	1820	248
880	1821	246
881	1824	244
882	1825	241
883	1827	239
884	1829	237
885	1830	235
886	1833	233
887	1835	231
888	1836	229
889	1838	227
890	1840	225
891	1842	223
892	1843	220
893	1845	218
894	1847	216
895	1849	214
896	1851	212
897	1852	210
898	1855	208
899	1857	206
900	1858	204
901	1861	202
902	1862	200
903	1864	198
904	1866	195
905	1868	193
906	1869	191
907	1872	189
908	1874	187
909	1876	185
910	1877	183
911	1880	181
912	1881	179
913	1883	177
914	1885	175
915	1887	173
916	1889	171
917	1891	168
918	1892	166
919	1895	164
920	1896	162
921	1898	160
922	1900	158
923	1901	156
924	1904	154
925	1905	152
926	1907	150
927	1908	148
928	1911	146
929	1913	144
930	1914	141
931	1916	139
932	1917	137
933	1920	135
934	1922	133
935	1923	131
936	1925	129
937	1928	127
938	1930	125
939	1931	123
940	1933	121
941	1936	119
942	1938	117
943	1939	115
944	1941	112
945	1944	111
946	1946	108
947	1948	106
948	1950	104
949	1954	102
950	1956	100
951	1958	98
952	1961	96
953	1963	94
954	1964	92
955	1967	90
956	1969	88
957	1971	86
958	1972	84
959	1976	82
960	1977	80
961	1979	78
962	1981	76
963	1984	74
964	1986	72
965	1988	69
966	1990	67
967	1993	65
968	1995	63
969	1997	61
970	2000	59
971	2002	57
972	2004	55
973	2006	53
974	2009	51
975	2010	49
976	2012	47
977	2014	45
978	2016	43
979	2018	41
980	2020	39
981	2023	37
982	2025	35
983	2027	32
984	2028	30
985	2030	28
986	2032	26
987	2034	24
988	2036	22
989	2037	20
990	2039	18
991	2040	16
992	2042	14
993	2043	12
994	2045	10
995	2047	998	2048	2
999	2050	0
4
998	2072	2
999	2074	0
022	4
998	2024	2
999	2026	0
