iter	Passed	Remaining
0	135	135673
1	138	68883
2	139	46420
3	141	35313
4	144	28659
5	145	24162
6	148	21057
7	150	18672
8	152	16750
9	153	15188
10	154	13935
11	156	12889
12	158	12068
13	159	11254
14	162	10646
15	163	10084
16	165	9571117	167	9114118	169	8736119	170	8366220	172	8040221	174	7737222	175	7466
23	177	7218224	179	6987225	181	6792
26	183	6595
27	183	6375
28	185	6202
29	186	6045
30	189	5911
31	190	5770
32	193	5682
33	195	5554
34	197	5442
35	199	5333
36	200	5228
37	202	5129
38	204	5031
39	205	4939
40	208	4870
41	209	4787
42	211	4706
43	213	4631
44	215	4564
45	216	4495446	219	4451447	220	4368448	222	4323
49	224	4267
50	227	4231
51	229	4175
52	230	4122
53	232	4072
54	234	4028555	235	3961556	236	3919557	238	3876558	241	3855559	243	3815660	245	3779661	247	3740662	248	3691663	250	3657664	252	3626
65	254	3595
66	256	3568
67	257	3535
68	259	3502
69	261	3471
70	262	3441
71	265	3417
72	266	3389
73	268	3363
74	270	3335775	272	3308776	273	3282777	275	3256778	277	3230779	278	3204880	280	3186881	282	3162882	284	3141883	286	3119884	287	3096885	289	3073886	290	3053887	293	3041888	295	3023889	297	3003990	298	2986991	300	2967992	302	2949993	304	2934994	306	291695	309	2913
96	311	2895
97	312	2879
98	315	2867
99	316	2847
100	318	2832
101	319	2816
102	321	2803
103	324	2794
104	326	2779
105	327	2763
106	329	2749
107	330	2733
108	332	2718
109	334	2702
110	335	2689
111	337	2676
112	339	2663
113	340	2650
114	342	2638
115	344	2627
116	346	2616
117	348	2604
118	349	2590
119	351	2579
120	354	2572
121	355	2560
122	357	2547
123	359	2537
124	360	2524
125	362	2515
126	364	2503
127	365	2492
128	367	2482
129	368	2467
130	370	2457
131	372	2449
132	374	2443
133	376	2432
134	378	2422
135	379	2412
1136	381	24011137	382	23911138	384	23821139	386	23731140	388	23651141	390	23561142	392	23491143	393	23411144	395	23321145	397	23221146	399	23161147	401	23111148	403	23021149	404	22941150	406	22871151	408	22781152	410	22721153	412	22661154	414	22581155	415	22491156	417	22421157	419	22341158	421	22291159	423	22221160	424	22141161	426	22061162	428	21981163	429	21911164	431	21851165	434	21811166	435	21731167	437	21661168	439	21591169	440	21521170	442	21451171	444	21381172	446	21321173	447	21251174	450	21221175	451	21161176	453	21091177	455	21021178	457	20961179	459	20911180	460	20851181	462	20791182	464	20731183	466	20681184	468	20631185	469	20561186	471	20501187	473	20441188	474	20371189	476	20311190	478	20251191	480	20201192	482	20151193	483	20091194	485	20041195	487	19981196	489	1994
197	490	1988
198	492	19821199	494	19772200	497	1978
201	501	1979
202	503	1976
203	505	1971
204	507	1967
205	509	1963
206	511	1959
