iter	Passed	Remaining
0	133	13216
1	134	6573
2	134	4358
3	135	3252
4	136	2586
5	136	2142
6	137	1825
7	138	1588
8	138	1403
9	139	1254
10	140	1133
11	140	1031
12	141	945
13	141	871
14	142	807
15	143	751
16	143	701
17	144	657
18	144	618
19	145	582
20	146	549
21	146	521
22	147	493
23	148	469
24	148	446
25	149	424
26	149	405
27	150	387
28	151	370
29	151	354
30	152	338
31	152	324
32	153	311
33	154	299
34	154	287
35	155	276
36	155	265
37	156	255
38	157	245
39	157	236
40	158	227
41	158	219
42	159	211
43	160	203
44	160	196
45	161	189
46	162	182
47	162	176
48	163	170
49	163	163
50	164	158
51	165	152
52	165	147
53	166	141
54	167	136
55	167	131
56	168	127
57	168	122
58	169	117
59	170	113
60	170	109
61	171	105
62	172	101
63	172	97
64	173	93
65	173	89
66	174	85
67	175	82
68	175	78
69	176	75
70	177	72
71	177	69
72	178	65
73	178	62
74	179	59
75	180	56
76	180	53
77	181	51
78	181	48
79	182	45
80	183	42
81	183	40
82	184	37
83	185	35
84	185	32
85	186	30
86	186	27
87	187	25
88	187	23
89	188	20
90	189	18
91	189	16
92	190	14
93	191	12
94	191	10
95	192	8
96	193	5
97	193	3
98	194	1
99	194	0
